,result,table,_start,_stop,_time,_value,_field,_measurement,deployment,namespace
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:28:40Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:28:50Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:29:00Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:29:10Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:29:20Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:29:30Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:29:40Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:29:50Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:30:00Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:30:10Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:30:20Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:30:30Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:30:40Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:30:50Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:31:00Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:31:10Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:31:20Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:31:30Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:31:40Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:31:50Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:32:00Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:32:10Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:32:20Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:32:30Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:32:40Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:32:50Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:33:00Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:33:10Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:33:20Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:33:30Z,11,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:33:40Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:33:50Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:34:00Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:34:10Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:34:20Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:34:30Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:34:40Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:34:50Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:35:00Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:35:10Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:35:20Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:35:30Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:35:40Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:35:50Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:36:00Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:36:10Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:36:20Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:36:30Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:36:40Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:36:50Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:37:00Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:37:10Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:37:20Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:37:30Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:37:40Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:37:50Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:38:00Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:38:10Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:38:20Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:38:30Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:38:40Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:38:50Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:39:00Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:39:10Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:39:20Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:39:30Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:39:40Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:39:50Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:40:00Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:40:10Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:40:20Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:40:30Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:40:40Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:40:50Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:41:00Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:41:10Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:41:20Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:41:30Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:41:40Z,5,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:41:50Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:42:00Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:42:10Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:42:20Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:42:30Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:42:40Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:42:50Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:43:00Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:43:10Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:43:20Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:43:30Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:43:40Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:43:50Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:44:00Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:44:10Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:44:20Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:44:30Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:44:40Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:44:50Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:45:00Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:45:10Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:45:20Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:45:30Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:45:40Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:45:50Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:46:00Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:46:10Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:46:20Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:46:30Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:46:40Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:46:50Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:47:00Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:47:10Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:47:20Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:47:30Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:47:40Z,4,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:47:50Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:48:00Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:48:10Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:48:20Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:48:30Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:48:40Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:48:50Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:49:00Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:49:10Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:49:20Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:49:30Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:49:40Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:49:50Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:50:00Z,1,desired_replicas,monitoring_cluster,test-flask-app,default
,last,1,2026-02-20T13:40:09Z,2026-02-20T14:50:10Z,2026-02-20T14:50:10Z,1,desired_replicas,monitoring_cluster,test-flask-app,default

